Projet;EOV / EBV;Matériel principal;Open-source;Low cost;Science participative;Low tech;Article scientifique;Git;Site web;Coût;Achat possible;Base de donnée;Dissémination;Réplication du projet;Technique;Profondeur max;Gamme de mesure;Résolution (plus petite valeur mesurable);Measurement error «e» (linked to accuracy);Systematic measurement error (linked to truness);Precision (répétabilité, fiabilité);Trueness (exactitude de la moyenne, justesse);Accuracy (exactitude);influence accuracy;Respect de norme;Conclusion;Comparaison capteurs commercial;lien documentation de validation;intégration mécanique;intégration électronique;lien doc technique;mot clé;remarque;Typologie de mise en oeuvre;Indice de réparabilité;Durée de vie;Empreinte carbone
KOSMOS;Poisson;"- Raspberry Pi 4 - Pi cam V2";x;;;x;x;x;x;< 1000 €;;;Bretagne sud;;;10 m;;"1080p30 vidéo, 3280 x 2464 image";;;;;;;;;;https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-26/issue-1/013014/Laying-the-foundation-to-use-Raspberry-Pi-3-V2-camera/10.1117/1.JEI.26.1.013014.full;;;;underwater video, monitoring, fishes, benthic habitat, coastal ecosystems, STAVIRO, collective intelligence, open source, citizen science;;;;;
Plankstoscope;Plancton;"- Raspberry Pi 4 - Pi cam V2";x;;;x;x;x;x;< 1000 €;x;x (EcoTaxa);Divers Pays;;;10 m;;"1080p30 vidéo, 3280 x 2464 image,  2.8 µm/px résolution";;;;;;;;;;https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-26/issue-1/013014/Laying-the-foundation-to-use-Raspberry-Pi-3-V2-camera/10.1117/1.JEI.26.1.013014.full;;;;PlanktoScope, microplankton, frugal microscopy, quantitative imaging, open source modularity;;;;;
Maka Niu;Poisson;"- Raspberry Pi zero W - Pi cam V2 - gps - capteur de température - capteur de pression";x;x;x;;x technique, x design collaboratif;;;$ 700;;x (Fathomnet);MAP : Bermuda (2), Canada, Cook Islands, Montserrat, Portugal (2), Seychelles, South Africa, Sri Lanka, Trinidad and Tobago, and the United States (8);17 (en 2021);;1500 m;;"vidéo 1080p30, Image 3280 x 2464,";;"Profondeur +- 0,3m,  Gps précis sur un rayon de 3m+-50 %,";;;;;;;image comparer avec les images d’une go pro : résultat identique sauf en 4k ou la go pro est meilleur ( mais go pro n’est pas open source et rajoute un cout);https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-26/issue-1/013014/Laying-the-foundation-to-use-Raspberry-Pi-3-V2-camera/10.1117/1.JEI.26.1.013014.full;;;;ocean exploration, marine science, technology, capacity development, artificial intelligence, machine learning, co-design, participatory design;analyse des données avec une IA, dispositif de contrôle de la flottabilité réalisé avec une noix de coco;;;;
IPAX;Zooplancton;"- Raspberry Pi Zero W - Pi Cam V2 - (capteur supplémentaire possible)";;x;;;x;x;;$ 427;;;Coconut Island in Kaneohe Bay, Hawai;;;100 m;;"1080p30 vidéo, 3280 x 2464 image,  Spécimen jusqu’à 100µm";;;;;;;;;"Résultat identique à des rapports prédédents (Alldredge  & King, 1980; Yahel, Yahel, Berman, Jaffe, & Genin, 2005)";https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-26/issue-1/013014/Laying-the-foundation-to-use-Raspberry-Pi-3-V2-camera/10.1117/1.JEI.26.1.013014.full;;;;in situ sensor, open soure hardware, underwater imaging, zooplankton;bcp de fichier html à télécharger pour pouvoir les ouvrir sur le git;;;;
FishOasis;Poisson;"- Raspberry A+ - sony a7S II E-mount Camera with Full Frame Sensor - enceinte";DIY;;;;x;x;;$ 4935;;;South La Jolla State Marine reserve;;;60 m;;"4256 x 2848,  Poissons de 10cm à moins de 2m de l’appareil";;;;;;;;;In 14 days, the OIS captured 40% of the fish species recorded during 500 dive transects conducted in the same region over a different three-year period, with similar rank-order abundances (Hastings et al., 2014).;;;;;;observation non invasive (lumière ambiante);;;;
PlashPi;Poisson;"- Raspberry Pi Zero W - Pi cam v2";x;x;;;x;;;200,00 €;;;Norwegian Skagerrak;;;150 m;;1080p30 vidéo, 3280 x 2464 image;;;;;;;;;pression test à 20 bar, theorical light pathway verified with calibration board, 10camera deployer lors de la campagne RV POSEIDON 20,000 image collectées;;;;;Raspberry Pi, Marine imaging, Time series, Open source hardware, Rapid prototyping;;;;;
VIV (video velocimeter);Courant;"- Raspberry Pi - Pi cam V2 - miroir - led";;x;;;x;;;;;;;;étude de la distribution des particules;100 m;"Min : 0 cm/s Max : 20 cm/s";"1080p30 vidéo, 3280 x 2464 image,  Particule de 50µm";"Vx : 1,43 cm/s Vy : 0,5 cm/s";<10 %;;;;;;peut estimer l’écoulement selon x et y mais a une forte erreur selon z;comparaison avec un système ADV FT2ADV;https://www.ysi.com/File%20Library/Documents/Brochures%20and%20Catalogs/flowtracker2-brochure.pdf;;;;In situ oceanic observation, instrumentation/sensor, measurements;;;;;
maker Buoy;"Courants  Elevation des eaux";"- Arduino - panneau solaire - imu - capteur de temperature  - capteur pression";x;x;;;x;x;x;$ 20 - $ 800;x (plusieurs kits);x (service à acheter);"Sud-Ouest des Etats-Unis, Ocean Atlantique, Groenland";;Récupération des données gps et de la pression;Surface;;;;"Position GPS +- 3m  Elevation +- 0,66 m  Presssion +-8 Pa";;;;;;Surveillance environnementale dans des régions difficiles et éloignées, surveillance des niveaux d’eau, suivi d’icebergs;"GPS  Comparaison avec BaroDiver and DPI 740 pressure sensors (elevation)";"https://www.adafruit.com/product/746  https://www.vanessen.com/images/PDFs/TD-Diver-DI8xx-ProductManual-en.pdf  https://www.corame.fr/wp-content/uploads/2016/04/DPI740_COR_EN2008.pdf";;;;"sensor, environmental sensing  Greenland; glacial lake outburst flooding; iceberg tracking; environmental monitoring; affordable sensors; real-time data";vente de service $ 5 pour l’analyse des données et un plan;;;;
SailBuoy Ocean Currents;Courant;"- profileur de courant - optode à oxygène - conductivité (salinité) - température - turbidité";;x;;;x;;x;;x;;Across Atlantic;;Mesure par effet Doppler;0 m, 20 m, 60m;"Min : 0 m/s Max : 0,8 m/s";;;+-0,03 m/s;écart type 0,03 m/s;;;vent, vague;;"Peut devenir une alternative pour la mesure de courant sous réserve de la résolution du décalage Performance déjà utiliser sur d’autre mesure (salinité, température)";;"https://www.nortekgroup.com/fr/products/aquadopp-300m/pdf https://www.aanderaa.com/media/pdfs/td310-dcps-primer.pdf";;;;SailBuoy, ADCP (acoustic Doppler current profiler), ocean current, observation;;;;;
Open CTD;"Salinité Température";"- Arduino - sonde de température - sonde conductivité - capteur de pression";x;x;;;x;x;x;$ 400;;x;USA (East);;Mesure de la conductivité de l’eau;200 m;;;;"Température +-0,1°C Profondeur < 1cm Salinité 1 %";;;;;;Permet une surveillance des océans peu coûteuse, accessible et fiable;comparaison avec les valeurs d’un (NERACOOS) buoys;;;;;lab life, ocean sciences;git complet, matériel standard, outils et consommable;;;;
